filename	slug	meta:status	meta:author	meta:component	meta:discipline	meta:serviceId	meta:category	meta:isOnHome	theme:isDark	theme:background	video	pageHeader:backToLabel	pageHeader:titleCategory	pageHeader:titleMain	pageHeader:subtitle	pageHeader:description	projectInfo:client	projectInfo:firm	projectInfo:date	projectInfo:results	images:hero_image	images:carousel:isBig	images:carousel:pics:src	images:galleryPics:src
chronopolis	chronopolis	active	Gregory Cowley	Project	engineer	prototyping	engineer	TRUE	TRUE	#252F3A	427638306	Project Back Link	engineer	Chronopolis	Large Scale Interactive Installation in Paris.	Developed in response to the 911 atrocities, Chronopolis was a large-scale interactive projection installation that was presented in Paris at the La Villette Numerique festival.  Chronolopis was a conceptual city represented by a graphic clock. This fictional place existed in between standard and metric time. Responding to the gathering of people on the floor, a computer measured the population to interpret the effect that the population has on the perception of time.	Chronopolis	MAD	20020926	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
cingular	cingular	active	Gregory Cowley	Project	engineer	prototyping	engineer	TRUE	TRUE	#252F3A	427638306	Project Back Link	engineer	Cingular RAEM	Interactive SDK Documentation for Developers	I produced an interactive Software Development portal that was built in Flash. It allowed for searching, browsing, and consumption of the content related to developing on the Cingular(AT&T) Mobile Platform. I worked closely with their team to build an application that would import and display dynamic content. The client was able to produce content and deliver it to the app in the form of XML for presentation.	Cingular RAEM	Punchcut	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
cms	cms	active	Gregory Cowley	Project	engineer	prototyping	engineer	TRUE	TRUE	#252F3A	427638306	Project Back Link	engineer	Content Mangement Systems	Wordpress, Drupal, Magento, and Joomla Sites Built and Maintained for Various Clients.	From 2005 through 2015, I worked almost exclusively with various content management systems. Coded mostly in PHP, I was given Photoshop documents to produce HTML CSS. temp templates for open-source CMS products such as WordPress, Magento, Joomla, and Drupal	Content Mangement Systems	Various	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
cowleystudios	cowleystudios	active	Gregory Cowley	Project	photographer	prototyping	photographer	TRUE	TRUE	#252F3A	427638306	Project Back Link	photographer	Cowley Studios	Professional White Box Photography Studio in Dogpatch, SF.'	In 2005, while continuing to work on Content Management Systems, I branched out to explore my lifelong interest in photography.  I built a commercial photography studio located in the Dogpatch area of San Francisco. There I worked with clients including IDEO, Adobe, University Games, and Intel. I also had hundreds of individuals come through the studio doors for portraiture and custom commissions.  Although the studio itself is now closed, I cultivated relationships with editorial clients whom I continue to work with and am able to take on new clients. The physical activity and artistry involved with my photography business provides a nice balance to my work in web development.	Cowley Studios	Cowley Studios	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
doceri	doceri	active	Gregory Cowley	Project	designer	prototyping	designer	TRUE	TRUE	#252F3A	427638306	Project Back Link	designer	Doceri Branding and Marketing Collateral	Development of a brand identity and user interface for an iPad application.	Doceri was a new product offering from SP Controls. Designed for the classroom, Doceri allowed teachers to use the iPad as a handheld whiteboarding tool. The software, linked with proprietary hardware, controlled project screens, lighting, sound, and content to be displayed. Doceri also included an early implementation of a stylus for an iPad.	Doceri Branding and Marketing Collateral	SP Controls	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
drpepper	drpepper	active	Gregory Cowley	Project	designer	prototyping	designer	TRUE	TRUE	#252F3A	427638306	Project Back Link	designer	Dr Pepper Promo CDROMS	CDROMS Created for promotional partnerships with the Red Cross and the Academy of Country Music. More than a million disks were created for each event.	Dr. Pepper was a major supporter of the American Red Cross. They commissioned an educational series of CDROMs geared towards kids. The disks were loaded with creative content that taught kids about the focus of the Red Cross. These included a range of life-saving relief services running from basic first aid to recovering from natural disasters.	Dr Pepper Promotional CDROMS	Dr Pepper	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
drtingleton	drtingleton	active	Gregory Cowley	Project	designer	prototyping	designer	TRUE	TRUE	#252F3A	427638306	Project Back Link	designer	Dr Tingleton Miracle Apps	A series of user entertainment apps that encouraged live social interaction.	I developed a series of iPhone apps meant for the live social environment. The apps fostered fun for social events in bars, restaurants, at parties, and at work.  The applications included an animated wheel of fortune to choose what drink you were going to order, a compliment generator that on upon shaking the phone would give you a nice compliment, and a message correspondence app that allows for sending handwritten notes to friends.	Dr Tingleton Miracle Apps	Dr Tingleton Miracle Apps	20111206	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
dwellvisualizer	dwellvisualizer	active	Gregory Cowley	Project	engineer	prototyping	engineer	TRUE	TRUE	#252F3A	427638306	Project Back Link	engineer	Dwell Magazine Visualizer	A dynamic image browser for Dwell Magazine images, back issues and archived content.	As a content visualizer for the Dwell Magazine website, a Flash-based application was created to allow users to filter and browse past articles, images, and other content that appeared within the pages of Dwell Magazine throughout its history.	Dwell Magazine Visualizer	Punchcut	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
exploratorium	exploratorium	active	Gregory Cowley	Project	engineer	prototyping	engineer	TRUE	TRUE	#252F3A	427638306	Project Back Link	engineer	Exploratorium Exhibit Creation	Fabrication, and some design, for an outdoor installation project installed in Civic Center, San Francisco. The exhibit encouraged social interaction using tangible interfaces controlled by hidden computer technology.	Middleground, an Exploratorium external site project, was a series of towers that encouraged people to interact with activities and each other. Middleground itself is a rehabilitation and recovery program. The installation acted as a happy place to further encourage this recovery and introduce people to the work Middleground does. The structure was installed in Civic Center, near City Hall in front of the San Francisco Public Library.	Exploratorium	Exploratorium	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
famsf	famsf	active	Gregory Cowley	Project	engineer	prototyping	engineer	TRUE	TRUE	#252F3A	427638306	Project Back Link	engineer	Fine Art Museums of San Francisco	An interactive digital brand guidelines document for the De Young Museum and the California Palace of the Legion of Honor in San Francisco.	Fine Arts Museums of San Francisco (FAMSF) is the parent organization of the de Young Museum and The Palace Legion of Honor museum. Wolf-Olins was the design firm that handled the rebranding of the institution. Wolf-Olins and I produced the style guide for the rebranding that existed digitally as a Flash application. The style-guide was easily distributed as cross-platform application.	Fine Art Museums of San Francisco	Wolf-Olins	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
hondansx	hondansx	active	Gregory Cowley	Project	engineer	prototyping	engineer	TRUE	TRUE	#252F3A	427638306	Project Back Link	engineer	Relaunch of the new Honda NSX Supercar	Honda launched the released its new supercar. I used HTML, CSS, and JavaScript to develop the presentation layer that was added to the existing Honda website backend.	Honda launched the released its new supercar. I used HTML, CSS, and JavaScript to develop the presentation layer that was added to the existing Honda website backend.  Honda's latest supercar incarnation, the venerable Honda NSX, was being released. The website to mark the occasion was designed by Razorfish in Los Angeles. I joined the team to do the front-end development and the visual presentation layer for this subsection of the Honda USA website.	Honda	Razorfish '	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
hpgarage	hpgarage	active	Gregory Cowley	Project	designer	prototyping	designer	TRUE	TRUE	#252F3A	427638306	Project Back Link	designer	HP Garage Innovation System	This project was team collaboration and brainstorming in the true IDEO style. I joined a team of bright minds for multiple weeks of discussion and deep thought to develop an innovation and training system for HP employees.	HP Garage was the name given to planned innovation spaces that would be developed on HPs campuses. The innovation space would include activities, directives, motivation tools for employees to work together for both team building and improvement of their products using IDEO's human-centered design approach.	HP	IDEO	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
ibmdb2	ibmdb2	active	Gregory Cowley	Project	designer	prototyping	designer	TRUE	TRUE	#252F3A	427638306	Project Back Link	designer	IBM DB2 Launch Video	Detailed motion graphics for the internal presentation and launch of a new IBM software product.	This was a Motion Graphics based video for the launch of IBM's new DB2 database product. The video was created using innovative graphic animations, interviews, and visual icons to inform and entertain the audience. The purpose of the video presented to the employees of IBM was to create enthusiasm for the new product.	IBM	MAD	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
ideo-intelinterfaces	ideo-intelinterfaces	active	Gregory Cowley	Project	design	Content Creation	design	TRUE	TRUE	#252F3A	427638306	Project Back Link	design	Intel Lifestyle Interfaces	I created the motion graphics for a series of short films showcasing hypothetical digital devices seamlessly interfacing into everyday life.	Intel's Mobile Platform Group (MPG) has a mission to propose mobile devices that use Intel technology. They worked closely with IDEO to build prototypes that implemented Intel technologies and could be licensed by equipment manufacturers. Cinema quality videos with dramatic storylines were created to weave narratives around how the technologies would be used in the real world.  A professional film production company was hired to produce these vignettes, which showed the hypothetical products being used in real-life situations. Within the videos, the actors would use props and green screens. My job was to animate graphics and overlay them in-post using After Effects. These non-functional prototypes were brought to life and responded to the interactions of the actors.	Intel	IDEO	20060000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
ideo-newyears	ideo-newyears	active	Gregory Cowley	Project	design	prototyping	design	TRUE	TRUE	#252F3A	427638306	Project Back Link	design	IDEO New Years Digital Cards	A digital holiday card that encouraged IDEO employees to share their best experiences of the year. Each card transformed each contributed memory into a collection of dynamic and interactive visual animations.	IDEO began introducing an annual digital New Year's card that allowed its employees around the world to contribute memories of the year through an interactive format. For the inaugural design, each employee could make their own personal snowflake, which included a favorite memory and information about the employee. The snowflakes floated in a 3D interactive environment allowing team members to learn about each creator and their memory for that year.	IDEO	IDEO	20200926	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
landor	landor	active	Gregory Cowley	Project	designer	prototyping	designer	TRUE	TRUE	#252F3A	427638306	Project Back Link	designer	Landor Associates Corporate Identity	Contributor to numerous branding, packaging, and product design projects and a working relationship that lasted over 10 years.	For over ten years, I worked with teams at Landor Associates to brand and create corporate identities for companies including the Olympics, American Airlines, Clorox, HP, Rice a Roni, Ford Motor Company, and John Deere. As the leading brand identity and corporate identity company, it was a privilege to be a team player in both their San Francisco and Hong Kong offices.	Various	Landor Associates	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
luminox	luminox	active	Gregory Cowley	Project	designer	prototyping	designer	TRUE	TRUE	#252F3A	427638306	Project Back Link	designer	Luminix Watch Website	Design and development for an online catalog with a custom CMS backend.	Luminox makes military-grade watches marketed towards the military and outdoor enthusiasts. I worked closely with the company founders to create an online catalog of their products. The site included a custom content management system that I hand-coded using PHP. The admin section of the site allowed the marketing team to add new products and update information.	Luminox Watch	DRDC Group	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
macromedia	macromedia	active	Gregory Cowley	Project	designer	prototyping	designer	TRUE	TRUE	#252F3A	427638306	Project Back Link	designer	Macromedia.com FMA IxD	The Flexible Messaging Area (FMA) on the Macromedia.com homepage highlighted the usefulness and abilities of Macromedia digital products.	Macromedia launched their new website with a particular area they called the Flexible Messaging Area (FMA) on the front page. This was an ever-evolving and interactive space focused on specific products and offerings from Macromedia. It offered entertainment and showed the capabilities of tools using Flash, their flagship product.	Macromedia	Macromedia	20200926	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
motorola	motorola	active	Gregory Cowley	Project	designer	prototyping	designer	TRUE	TRUE	#252F3A	427638306	Project Back Link	designer	Motorola Innovation Projects	Creation of animated presentation material for an internal innovation contest. Produced interactive demos for Motorola user interfaces and use case scenarios.	Motorola had several internal projects that ranged from prototypes for the interaction of screens on their line of mobile phones to an internal competition to develop innovative ideas for features to be added to future products.  I designed and animated the finalists' proposals, which were presented for voting during the competition. These included illustrations, diagrams, and animations of how each entry worked.	Motorola	Augmentum	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
nikeskateboarding	nikeskateboarding	active	Gregory Cowley	Project	engineer	prototyping	engineer	TRUE	TRUE	#252F3A	427638306	Project Back Link	engineer	Nike Skateboarding Website	A prestige project for Nike skateboarding shoes, this project was the creation of a dynamic shoe browser that used animation to entertain and wow.	Odopod created the Nike skateboarding website, which showcases skateboarding shoes and the Nike sponsored skaters that endorse them.  I created an interactive shoe browsing interface that included an animated filtering system. Users could manipulate the settings to cause shoes to fall off the shelves and new shoes to fly back up to replace them.	Nike	Odopod	20200926	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
openwave	openwave	active	Gregory Cowley	Project	designer	prototyping	designer	TRUE	TRUE	#252F3A	427638306	Project Back Link	designer	Openwave Trade Show Video Content	Creation of keynote introduction videos, dramatic effects, and informative content for Las Vegas Presentations.	A short description	Openwave	3feetofftheground	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
opesadvisors	opesadvisors	active	Gregory Cowley	Project	engineer	prototyping	engineer	TRUE	TRUE	#252F3A	427638306	Project Back Link	engineer	Opes Advisors Website and Intranet	> An online public-facing website and internal intranet for a financial services firm.	Opes Advisors, a financial investment advising firm, needed an intranet for their employees to be able to manage their clients and internal documents. In addition, they required a public-facing site for marketing and blogging purposes. For this project, both the internet and extranet versions were built on Joomla.	Opes Advisors	Elixir Design	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
ouya	ouya	active	Gregory Cowley	Project	engineer	prototyping	engineer	TRUE	TRUE	#252F3A	427638306	Project Back Link	engineer	UI Development for Ouya Game Console	Prototyping of the animation and user interaction for the Ouya Game Console.	Working from design team sketches, I created a working prototype of the console's user interface. This UI allowed users to browse games, videos, and other content using a game controller.	Ouya Game Console	Fuseproject	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
pbsmediaplayer	pbsmediaplayer	active	Gregory Cowley	Project	engineer	prototyping	engineer	TRUE	TRUE	#252F3A	427638306	Project Back Link	engineer	PBS Media Player UI	A Flash-based user interface for browsing online video content	The PBS media player was a browser for short videos contained on the PBS website. I designed and developed the interface that included a video player for the media segments.	PBS	Flax Media	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
photoworks	photoworks	active	Gregory Cowley	Project	designer	prototyping	designer	TRUE	TRUE	#252F3A	427638306	Project Back Link	designer	Photoworks iOS Photo Ordering App	A mobile iOS app that allowed customers to order real prints from the photos on their phones.	Photoworks, a high-quality photo lab based in San Francisco, specialized in creative, unique photo printing services. I designed and built an application for this client that allowed users to select from Photoworks' product offerings, upload photos directly from their phones, and pay for orders.	Photoworks	Photoworks	20200926	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
quicktime	quicktime	active	Gregory Cowley	Project	designer	prototyping	designer	TRUE	TRUE	#252F3A	427638306	Project Back Link	designer	Quicktime/Qtv Animation and Design	For the launch of Apple's first built-in video player, I created the test animation included with every download.	Quicktime was an Apple product released in the mid-1990s for playing video on a Macintosh. It was a video component player that was included with the operating system but could also be downloaded separately.  Once installed, the demo animation I created would play to confirm the software was correctly installed. In addition, I also designed and animated the Quicktime TV logo for Apple's Quicktime TV offering. This was a very early version of what would become the AppleTV.	Apple	CKS	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
razorfish	razorfish	active	Gregory Cowley	Project	designer	prototyping	designer	TRUE	TRUE	#252F3A	427638306	Project Back Link	designer	Razorfish Design and Development	Worked as a staff designer at the first Razorfish office in San Francisco.	Rocket Lawyer is an online legal services company that allows users to create legally binding documents or other legal entities. I worked closely with the marketing team to produce Optimizely A/B tests for improving customer turnover and customer engagement.	Various	Razorfish '	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
rocketlawyer	rocketlawyer	active	Gregory Cowley	Project	engineer	prototyping	engineer	TRUE	TRUE	#252F3A	427638306	Project Back Link	engineer	Rocket Lawyer Online Product	Developer for marketing material primarily using Optimizely to manage A/B testing and user response.	Rocket Lawyer is an online legal services company. It's a place to create a legal legally binding contract or one of many other legal entities based on offerings that the company had. I worked closely with the marketing team to produce Optimizely A B testing stuff for improving customer turnover and customer engagement.	Rocket Lawyer	Rocket Lawyer	20200926	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
rxgallery	rxgallery	active	Gregory Cowley	Project	artist	prototyping	artist	TRUE	TRUE	#252F3A	427638306	Project Back Link	artist	RX Gallery-Art and Technology	Original founding partner of a wine bar and gallery space devoted to electronic arts, robotics, new media, and video art.	RX Gallery Art and Technology Space in the SF Tenderloin.  RX Gallery was an art bar with a focus on art and technology-centered in the Tenderloin area of San Francisco. At the time, it was the pinnacle of art and technology in the region. We worked closely with artists and arts institutions that shared our interest in digital and electronic expression. The gallery operated from 2003 to 2008.	RX Gallery	Self	20190000	These are the results of the project	image/list1.png image/list2.png image/list3.png	TRUE	pics/for/carousel1.png pics/for/carousel2.png pics/for/carousel3.png	pics/for/gallery1.png pics/for/gallery2.png pics/for/gallery3.png
