	slug	status	author	component	discipline	project_type	isOnHome	serviceId	theme	isDark	background	video	page_header	backToLabel	titleCategory	titleMain	subtitle	description	project_info	client	firm	date	results	images	hero_image	carousel	isBig	pics	- src	galleryPics	separator	category	category_alt	image_path	image_source_dir_name	left_images	projecttype	right_images	title	type
---	sample++briggo	active++active	Gregory Cowley++Gregory Cowley	Project	Discipline++Discipline	Project Type++Project Type	true	prototyping++		true	#252F3A	427638306++		Project Back Link	designer	Safari U Website	>-++Website design and development for O'Reilly Media's educational customization++service.++Multi-screen kiosk User Interface Development.	>-++O'Reilly Media's SafariU allowed teachers to create curriculums and generate++content for their courses from O'Reilly's vast library of books and media.++Students could purchase, download, and print course material. I created the++website as well as an explainer video about how the course building process++worked.++++>-++For the Briggo automated coffee cart, I worked from layouts supplied by a++designer to create interactive animations that would guide customers through++the ordering process. This kiosk used interactive touchscreens for both input++and feedback to the client regarding the status of their order. Coffee was++prepared by a robot, and customers were notified when their order was ready++through feedback from an order queue screen.		O'Reilly Media++Briggo	O'Reilly Media++Fuseproject	'20190000'++'20190000'	Presented at the Design designer(s) exhibition, part of the 'Lille World Design Capital 2020'.++		projects/SafariU/SafariU-top-229++projects/Briggo/Briggo-top-226		true		projects/SafariU/SafariU-right-233++projects/SafariU/SafariU-right-230++projects/SafariU/SafariU-right-231++projects/SafariU/SafariU-right-232++imgGallery1++imgGallery2++imgGallery3++projects/Briggo/Briggo-left-228++projects/Briggo/Briggo-right-227++projects/Briggo/Briggo-right-225++projects/Briggo/Briggo-right-224		####	engineer	Unused	/projects/Briggo	Briggo		Project Type		Briggo Automated Coffee Cart	Component
	slug	status	author	component	discipline	project_type	isOnHome	serviceId	theme	isDark	background	video	page_header	backToLabel	titleCategory	titleMain	subtitle	description	project_info	client	firm	date	results	images	hero_image	carousel	isBig	pics	- src	galleryPics	separator	category	category_alt	image_path	image_source_dir_name	left_images	projecttype	right_images	title	type
---	sample++cavallopoint	active++active	Gregory Cowley++Gregory Cowley	Project	Discipline++Discipline	Project Type++Project Type	true	prototyping++		true	#252F3A	427638306++		Project Back Link	designer	Safari U Website	>-++Website design and development for O'Reilly Media's educational customization++service.++Website for marketing a unique resort experience in San Francisco.	>-++O'Reilly Media's SafariU allowed teachers to create curriculums and generate++content for their courses from O'Reilly's vast library of books and media.++Students could purchase, download, and print course material. I created the++website as well as an explainer video about how the course building process++worked.++++>-++I worked with the designer who supplied PSD files for development. My job was++to prepare the assets, code the HTML/CSS, and deploy the resort website. The++site worked as a delivery tool for marketing collateral and a booking tool for++the resort.		O'Reilly Media++Cavallo Point Resort	O'Reilly Media++Passport Resorts	'20190000'++'20190000'	Presented at the Design designer(s) exhibition, part of the 'Lille World Design Capital 2020'.++		projects/SafariU/SafariU-top-229++projects/CavalloPoint/CavalloPoint-top-129		true		projects/SafariU/SafariU-right-233++projects/SafariU/SafariU-right-230++projects/SafariU/SafariU-right-231++projects/SafariU/SafariU-right-232++imgGallery1++imgGallery2++imgGallery3++projects/CavalloPoint/CavalloPoint-left-130++projects/CavalloPoint/CavalloPoint-right-131++projects/CavalloPoint/CavalloPoint-right-130++projects/CavalloPoint/CavalloPoint-right-132		####	engineer	Unused	/projects/CavalloPoint	CavalloPoint		Project Type		Cavallo Point Resort	Component
	slug	status	author	component	discipline	project_type	isOnHome	serviceId	theme	isDark	background	video	page_header	backToLabel	titleCategory	titleMain	subtitle	description	project_info	client	firm	date	results	images	hero_image	carousel	isBig	pics	- src	galleryPics	separator	category	category_alt	image_path	image_source_dir_name	left_images	projecttype	right_images	title	type
---	sample++cca	active++active	Gregory Cowley++Gregory Cowley	Project	Discipline++Discipline	Project Type++Project Type	true	prototyping++		true	#252F3A	427638306++		Project Back Link	designer	Safari U Website	>-++Website design and development for O'Reilly Media's educational customization++service.++Professor of Design since 2002.	>-++O'Reilly Media's SafariU allowed teachers to create curriculums and generate++content for their courses from O'Reilly's vast library of books and media.++Students could purchase, download, and print course material. I created the++website as well as an explainer video about how the course building process++worked.++++>-++I have been teaching at the California College of the Arts since 2002, where I++began as a professor teaching in the graphic design department. I am currently++teaching in the interaction design department as an adjunct professor. I teach++sophomore and junior-level  Core fundamental courses.++++++I have taught summer programs in Oakland and Paris. I've also taught and++mentored graduate students in self-study programs.		O'Reilly Media++California College of the Arts	O'Reilly Media++California College of the Arts	'20190000'++'20190000'	Presented at the Design designer(s) exhibition, part of the 'Lille World Design Capital 2020'.++		projects/SafariU/SafariU-top-229++projects/CCA/CCA-top-161		true		projects/SafariU/SafariU-right-233++projects/SafariU/SafariU-right-230++projects/SafariU/SafariU-right-231++projects/SafariU/SafariU-right-232++imgGallery1++imgGallery2++imgGallery3++projects/CCA/CCA-left-167++projects/CCA/CCA-right-162++projects/CCA/CCA-right-163++projects/CCA/CCA-right-166++projects/CCA/CCA-right-165++projects/CCA/CCA-right-164		####	educator	Unused	/projects/CCA	CCA		Project Type		California College of the Arts	Component
	slug	status	author	component	discipline	project_type	isOnHome	serviceId	theme	isDark	background	video	page_header	backToLabel	titleCategory	titleMain	subtitle	description	project_info	client	firm	date	results	images	hero_image	carousel	isBig	pics	- src	galleryPics	separator	category	category_alt	image_path	image_source_dir_name	left_images	projecttype	right_images	title	type
---	sample++chronopolis	active++active	Gregory Cowley++Gregory Cowley	Project	Discipline++Artist	Project Type++Project Type	true	prototyping++		true	#252F3A	427638306++		Project Back Link	designer	Safari U Website	>-++Website design and development for O'Reilly Media's educational customization++service.++Large Scale Interactive Installation in Paris.	>-++O'Reilly Media's SafariU allowed teachers to create curriculums and generate++content for their courses from O'Reilly's vast library of books and media.++Students could purchase, download, and print course material. I created the++website as well as an explainer video about how the course building process++worked.++++>++Developed in response to the 911 atrocities, Chronopolis was a large-scale++interactive projection installation that was presented in Paris at the La++Villette Numerique festival.++++++Chronolopis was a conceptual city represented by a graphic clock. This++fictional place existed in between standard and metric time. Responding to the++gathering of people on the floor, a computer measured the population to++interpret the effect that the population has on the perception of time.		O'Reilly Media++Chronopolis	O'Reilly Media++MAD	'20190000'++'20020926'	Presented at the Design designer(s) exhibition, part of the 'Lille World Design Capital 2020'.++		projects/SafariU/SafariU-top-229++projects/Chronopolis/Chronopolis-top-83		true		projects/SafariU/SafariU-right-233++projects/SafariU/SafariU-right-230++projects/SafariU/SafariU-right-231++projects/SafariU/SafariU-right-232++imgGallery1++imgGallery2++imgGallery3++projects/Chronopolis/Chronopolis-left-85++projects/Chronopolis/Chronopolis-left-82++projects/Chronopolis/Chronopolis-right-78++projects/Chronopolis/Chronopolis-right-81++projects/Chronopolis/Chronopolis-right-80++projects/Chronopolis/Chronopolis-right-79++projects/Chronopolis/Chronopolis-right-84		####	engineer	Unused	/projects/Chronopolis	Chronopolis		Digital Production		Chronopolis	Experience Design
	slug	status	author	component	discipline	project_type	isOnHome	serviceId	theme	isDark	background	video	page_header	backToLabel	titleCategory	titleMain	subtitle	description	project_info	client	firm	date	results	images	hero_image	carousel	isBig	pics	- src	galleryPics	separator	category	category_alt	image_path	image_source_dir_name	left_images	projecttype	right_images	title	type
---	sample++cingular	active++active	Gregory Cowley++Gregory Cowley	Project	Discipline++Discipline	Project Type++Project Type	true	prototyping++		true	#252F3A	427638306++		Project Back Link	designer	Safari U Website	>-++Website design and development for O'Reilly Media's educational customization++service.++Interactive SDK Documentation for Developers	>-++O'Reilly Media's SafariU allowed teachers to create curriculums and generate++content for their courses from O'Reilly's vast library of books and media.++Students could purchase, download, and print course material. I created the++website as well as an explainer video about how the course building process++worked.++++>++I produced an interactive Software Development portal that was built in Flash.++It allowed for searching, browsing, and consumption of the content related to++developing on the Cingular(AT&T) Mobile Platform. I worked closely with their++team to build an application that would import and display dynamic content.++The client was able to produce content and deliver it to the app in the form++of XML for presentation.		O'Reilly Media++Cingular RAEM	O'Reilly Media++Punchcut	'20190000'++'20190000'	Presented at the Design designer(s) exhibition, part of the 'Lille World Design Capital 2020'.++		projects/SafariU/SafariU-top-229++projects/Cingular/Cingular-top-66		true		projects/SafariU/SafariU-right-233++projects/SafariU/SafariU-right-230++projects/SafariU/SafariU-right-231++projects/SafariU/SafariU-right-232++imgGallery1++imgGallery2++imgGallery3++projects/Cingular/Cingular-right-67++projects/Cingular/Cingular-right-68++projects/Cingular/Cingular-right-71++projects/Cingular/Cingular-right-69++projects/Cingular/Cingular-right-70		####	engineer	Unused	/projects/Cingular	Cingular	[]	Project Type		Cingular RAEM	Component
	slug	status	author	component	discipline	project_type	isOnHome	serviceId	theme	isDark	background	video	page_header	backToLabel	titleCategory	titleMain	subtitle	description	project_info	client	firm	date	results	images	hero_image	carousel	isBig	pics	- src	galleryPics	separator	category	category_alt	image_path	image_source_dir_name	left_images	projecttype	right_images	title	type
---	sample++cms	active++active	Gregory Cowley++Gregory Cowley	Project	Discipline++Discipline	Project Type++Project Type	true	prototyping++		true	#252F3A	427638306++		Project Back Link	designer	Safari U Website	>-++Website design and development for O'Reilly Media's educational customization++service.++>-++Wordpress, Drupal, Magento, and Joomla Sites Built and Maintained for Various++Clients.	>-++O'Reilly Media's SafariU allowed teachers to create curriculums and generate++content for their courses from O'Reilly's vast library of books and media.++Students could purchase, download, and print course material. I created the++website as well as an explainer video about how the course building process++worked.++++>-++From 2005 through 2015, I worked almost exclusively with various content++management systems. Coded mostly in PHP, I was given Photoshop documents to++produce HTML CSS. temp templates for open-source CMS products such as++WordPress, Magento, Joomla, and Drupal		O'Reilly Media++Content Mangement Systems	O'Reilly Media++Various	'20190000'++'20190000'	Presented at the Design designer(s) exhibition, part of the 'Lille World Design Capital 2020'.++		projects/SafariU/SafariU-top-229++projects/CMS/CMS-top-44		true		projects/SafariU/SafariU-right-233++projects/SafariU/SafariU-right-230++projects/SafariU/SafariU-right-231++projects/SafariU/SafariU-right-232++imgGallery1++imgGallery2++imgGallery3++projects/CMS/CMS-left-53++projects/CMS/CMS-left-42++projects/CMS/CMS-left-50++projects/CMS/CMS-left-43++projects/CMS/CMS-left-52++projects/CMS/CMS-right-48++projects/CMS/CMS-right-46++projects/CMS/CMS-right-47++projects/CMS/CMS-right-51++projects/CMS/CMS-right-45++projects/CMS/CMS-right-49		####	engineer	Unused	/projects/CMS	CMS		Project Type		Content Mangement Systems	Component
	slug	status	author	component	discipline	project_type	isOnHome	serviceId	theme	isDark	background	video	page_header	backToLabel	titleCategory	titleMain	subtitle	description	project_info	client	firm	date	results	images	hero_image	carousel	isBig	pics	- src	galleryPics	separator	title	category	categoryAlt	projecttype	type	detail_images
---	sample++cncmachine	active++active	Gregory Cowley++Gregory Cowley	Project	Discipline++''	Project Type++undefined	true	prototyping++		true	#252F3A	427638306++		Project Back Link	designer	Safari U Website	>-++Website design and development for O'Reilly Media's educational customization++service.++>-++I constructed a fully operational 4 by 8 foot CNC machine based on the Open++Source Maslow CNC system.	>-++O'Reilly Media's SafariU allowed teachers to create curriculums and generate++content for their courses from O'Reilly's vast library of books and media.++Students could purchase, download, and print course material. I created the++website as well as an explainer video about how the course building process++worked.++++>++I've had a longtime interest in the fabrication of furniture and large scale++products, but lacked the resources to produce such products. Instead, I often++would build things by hand, limited by the tools I had. Many of the best++designs I created were out of the range of my abilities.++++++I wanted to work with computer-controlled rapid prototyping, and finally, I++had the opportunity to build a CNC machine on my own using open source content++from Maslow CNC. I created the initial CNC machine to work with four by eight++sheets of plywood. Over time I've made continuous improvements to improve++accuracy and speed. I've learned computer-controlled fabrication technology++from the inside out.		O'Reilly Media++Homemade CNC Machine	O'Reilly Media++Self	'20190000'++'20200926'	Presented at the Design designer(s) exhibition, part of the 'Lille World Design Capital 2020'.++		projects/SafariU/SafariU-top-229++placehoders/GeoHex-bg07_vtenlp		true		projects/SafariU/SafariU-right-233++projects/SafariU/SafariU-right-230++projects/SafariU/SafariU-right-231++projects/SafariU/SafariU-right-232++imgGallery1++imgGallery2++imgGallery3++placehoders/GeoHex-bg07_vtenlp++placehoders/GeoHex-bg07_vtenlp++placehoders/GeoHex-bg07_vtenlp		####	Homemade CNC Machine	engineer	''	''	''	
	slug	status	author	component	discipline	project_type	isOnHome	serviceId	theme	isDark	background	video	page_header	backToLabel	titleCategory	titleMain	subtitle	description	project_info	client	firm	date	results	images	hero_image	carousel	isBig	pics	- src	galleryPics	separator	category	category_alt	image_path	image_source_dir_name	left_images	projecttype	right_images	title	type
---	sample++cowleystudios	active++active	Gregory Cowley++Gregory Cowley	Project	Discipline++Discipline	Project Type++Project Type	true	prototyping++		true	#252F3A	427638306++		Project Back Link	designer	Safari U Website	>-++Website design and development for O'Reilly Media's educational customization++service.++'Professional White Box Photography Studio in Dogpatch, SF.'	>-++O'Reilly Media's SafariU allowed teachers to create curriculums and generate++content for their courses from O'Reilly's vast library of books and media.++Students could purchase, download, and print course material. I created the++website as well as an explainer video about how the course building process++worked.++++>++In 2005, while continuing to work on Content Management Systems, I branched++out to explore my lifelong interest in photography.++++++I built a commercial photography studio located in the Dogpatch area of San++Francisco. There I worked with clients including IDEO, Adobe, University++Games, and Intel. I also had hundreds of individuals come through the studio++doors for portraiture and custom commissions.++++++Although the studio itself is now closed, I cultivated relationships with++editorial clients whom I continue to work with and am able to take on new++clients. The physical activity and artistry involved with my photography++business provides a nice balance to my work in web development.		O'Reilly Media++Cowley Studios	O'Reilly Media++Cowley Studios	'20190000'++'20190000'	Presented at the Design designer(s) exhibition, part of the 'Lille World Design Capital 2020'.++		projects/SafariU/SafariU-top-229++projects/CowleyStudios/CowleyStudios-top-132		true		projects/SafariU/SafariU-right-233++projects/SafariU/SafariU-right-230++projects/SafariU/SafariU-right-231++projects/SafariU/SafariU-right-232++imgGallery1++imgGallery2++imgGallery3++projects/CowleyStudios/CowleyStudios-right-133++projects/CowleyStudios/CowleyStudios-right-135++projects/CowleyStudios/CowleyStudios-right-134++projects/CowleyStudios/CowleyStudios-right-130		####	photographer	Unused	/projects/CowleyStudios	CowleyStudios	[]	Project Type		Cowley Studios	Component
	slug	status	author	component	discipline	project_type	isOnHome	serviceId	theme	isDark	background	video	page_header	backToLabel	titleCategory	titleMain	subtitle	description	project_info	client	firm	date	results	images	hero_image	carousel	isBig	pics	- src	galleryPics	separator	category	category_alt	image_path	image_source_dir_name	left_images	projecttype	right_images	title	type
---	sample++disneyvmk	active++active	Gregory Cowley++Gregory Cowley	Project	Discipline++Discipline	Project Type++Project Type	true	prototyping++		true	#252F3A	427638306++		Project Back Link	designer	Safari U Website	>-++Website design and development for O'Reilly Media's educational customization++service.++>-++Flash-based games and activities to assist children in planning their trip to++Disneyland.	>-++O'Reilly Media's SafariU allowed teachers to create curriculums and generate++content for their courses from O'Reilly's vast library of books and media.++Students could purchase, download, and print course material. I created the++website as well as an explainer video about how the course building process++worked.++++>-++The Disney Virtual Magic Kingdom was an online portal for kids who were++planning a trip to Disneyland. The colorful VMK interactive experience was++built entirely in Flash. It consisted of a series of games and activities that++would generate excitement about specific rides at the park. It incorporated++video editing mashups, maps, and a daily event planner.		O'Reilly Media++Disney Vitrual Magic Kingdom	O'Reilly Media++Punchcut	'20190000'++'20190000'	Presented at the Design designer(s) exhibition, part of the 'Lille World Design Capital 2020'.++		projects/SafariU/SafariU-top-229++projects/DisneyVMK/DisneyVMK-top-72		true		projects/SafariU/SafariU-right-233++projects/SafariU/SafariU-right-230++projects/SafariU/SafariU-right-231++projects/SafariU/SafariU-right-232++imgGallery1++imgGallery2++imgGallery3++projects/DisneyVMK/DisneyVMK-right-73++projects/DisneyVMK/DisneyVMK-right-72++projects/DisneyVMK/DisneyVMK-right-70++projects/DisneyVMK/DisneyVMK-right-71		####	engineer	Unused	/projects/	DisneyVMK	[]	Project Type		Disney Vitrual Magic Kingdom	Component
	slug	status	author	component	discipline	project_type	isOnHome	serviceId	theme	isDark	background	video	page_header	backToLabel	titleCategory	titleMain	subtitle	description	project_info	client	firm	date	results	images	hero_image	carousel	isBig	pics	- src	galleryPics	separator	category	category_alt	image_path	image_source_dir_name	left_images	projecttype	right_images	title	type
---	sample++doceri	active++active	Gregory Cowley++Gregory Cowley	Project	Discipline++Discipline	Project Type++Project Type	true	prototyping++		true	#252F3A	427638306++		Project Back Link	designer	Safari U Website	>-++Website design and development for O'Reilly Media's educational customization++service.++Development of a brand identity and user interface for an iPad application.	>-++O'Reilly Media's SafariU allowed teachers to create curriculums and generate++content for their courses from O'Reilly's vast library of books and media.++Students could purchase, download, and print course material. I created the++website as well as an explainer video about how the course building process++worked.++++>-++Doceri was a new product offering from SP Controls. Designed for the++classroom, Doceri allowed teachers to use the iPad as a handheld whiteboarding++tool. The software, linked with proprietary hardware, controlled project++screens, lighting, sound, and content to be displayed. Doceri also included an++early implementation of a stylus for an iPad.		O'Reilly Media++Doceri Branding and Marketing Collateral	O'Reilly Media++SP Controls	'20190000'++'20190000'	Presented at the Design designer(s) exhibition, part of the 'Lille World Design Capital 2020'.++		projects/SafariU/SafariU-top-229++projects/Doceri/Doceri-top-179		true		projects/SafariU/SafariU-right-233++projects/SafariU/SafariU-right-230++projects/SafariU/SafariU-right-231++projects/SafariU/SafariU-right-232++imgGallery1++imgGallery2++imgGallery3++projects/Doceri/Doceri-left-177++projects/Doceri/Doceri-left-178++projects/Doceri/Doceri-left-176++projects/Doceri/Doceri-right-176++projects/Doceri/Doceri-right-175		####	designer	Unused	/projects/Doceri	Doceri		Project Type		Doceri Branding and Marketing Collateral	Component
	slug	status	author	component	discipline	project_type	isOnHome	serviceId	theme	isDark	background	video	page_header	backToLabel	titleCategory	titleMain	subtitle	description	project_info	client	firm	date	results	images	hero_image	carousel	isBig	pics	- src	galleryPics	separator	category	category_alt	image_path	image_source_dir_name	left_images	projecttype	right_images	title	type
